Number 	Label	Saturated	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(FITS)	Y(FITS)	RA	DEC	Source-Sky	Peak	Sky/Pixel	Width
1	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1784.073323	929.963298	20.709841	0.122264	541344.695829	8670.000000	3009.715024	12.624295
2	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1539.137226	955.707127	20.707329	0.128475	56052.901187	3597.000000	3007.273075	13.107883
3	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1214.827478	1075.056509	20.704053	0.149898	99000.621542	4154.000000	3006.410918	12.748825
4	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	2033.166820	1891.876811	20.712987	0.268957	45925.650907	3491.000000	3007.111269	13.450541
5	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	2258.973300	1785.891215	20.715254	0.250497	109116.682871	4218.000000	3008.866312	12.416876
6	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	129.499026	1830.833083	20.693296	0.276745	458246.325430	8332.000000	3011.918547	12.559641
7	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1076.402763	1799.101347	20.703056	0.263255	6678.543304	3142.000000	3006.687524	16.747425
8	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	942.719947	1805.205505	20.701679	0.265411	79147.069693	3907.000000	3007.104003	12.991031
9	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	593.858539	1277.323445	20.697763	0.186848	31738.363774	3534.000000	3007.030566	13.042750
10	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	3018.266978	1485.008037	20.722906	0.197014	288503.145072	6553.000000	3011.846069	12.481724
11	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	2424.647906	1700.305857	20.716912	0.235741	10646.795296	3172.000000	3007.912165	13.489395
12	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1099.373332	697.402962	20.702636	0.092485	52429.529542	3608.000000	3007.129616	12.717243
13	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	341.296578	411.925572	20.694641	0.055198	27188.621363	3325.000000	3009.558379	12.934286
14	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1343.810519	1343.238777	20.705545	0.190248	69396.397313	3763.000000	3006.885221	12.698390
15	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	2281.315053	1161.925713	20.715110	0.153665	9395.699301	4410.000000	3006.881119	17.233813
16	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	2213.278099	1037.949420	20.714334	0.135085	7675.884658	3608.000000	3007.698022	18.793252
17	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1840.724395	448.159402	20.710136	0.047159	30916.573491	3355.000000	3008.412440	12.850510
18	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1529.085631	570.716701	20.706995	0.068967	8879.486527	3447.000000	3008.255614	11.404773
19	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1270.541119	229.330137	20.704122	0.018477	28524.792170	3336.000000	3007.690084	12.799727
20	SA112-SF1-001R1.fit	0.000000	16.000000	28.000000	42.000000	1270.325185	547.378965	20.704310	0.067708	5819.309290	3114.000000	3007.338746	15.949687
